model,technique,task,metric,value
HDEM,int_anon,duration,MAE,2066.0438150537657
HDEM,sb,duration,MAE,2060.0438150537657
KNN,hpcb_anon_template1,avgpcon,MAE,28.6885
KNN,hpcb_anon_template1,duration,MAE,203.7662
KNN,hpcb_anon_template1,ec,accuracy,0.84
KNN,hpcb_anon_template1,pclass,accuracy,0.74
KNN,hpcb_anon_template2,avgpcon,MAE,28.4128
KNN,hpcb_anon_template2,duration,MAE,195.4659
KNN,hpcb_anon_template2,ec,accuracy,0.83
KNN,hpcb_anon_template2,pclass,accuracy,0.73
KNN,hpc_mpnet_anon_template1,avgpcon,MAE,29.9084
KNN,hpc_mpnet_anon_template1,ec,accuracy,0.69
KNN,hpc_mpnet_anon_template1,pclass,accuracy,0.72
KNN,int_anon,avgpcon,MAE,29.3223
KNN,int_anon,duration,MAE,269.4651
KNN,int_anon,ec,accuracy,0.81
KNN,int_anon,pclass,accuracy,0.78
KNN,sb_anon,avgpcon,MAE,24.3645
KNN,sb_anon,duration,MAE,312.2561
KNN,sb_anon,ec,accuracy,0.88
KNN,sb_anon,pclass,accuracy,0.68
KNN,sb_anon_template1,avgpcon,MAE,27.2743
KNN,sb_anon_template1,duration,MAE,219.7181
KNN,sb_anon_template1,ec,accuracy,0.84
KNN,sb_anon_template1,pclass,accuracy,0.76
KNN,sb_anon_template2,avgpcon,MAE,25.9703
KNN,sb_anon_template2,duration,MAE,205.3623
KNN,sb_anon_template2,ec,accuracy,0.85
KNN,sb_anon_template2,pclass,accuracy,0.75
KNN,sb_anon_template3,avgpcon,MAE,46.493
KNN,sb_anon_template3,duration,MAE,275.6632
KNN,sb_anon_template3,ec,accuracy,0.66
KNN,sb_anon_template3,pclass,accuracy,0.7
KNN,sb_anon_template4,avgpcon,MAE,26.6148
KNN,sb_anon_template4,duration,MAE,423.5762
KNN,sb_anon_template4,ec,accuracy,0.88
KNN,sb_anon_template4,pclass,accuracy,0.79
KNN,sb_anon_template5,avgpcon,MAE,24.7169
KNN,sb_anon_template5,duration,MAE,372.3963
KNN,sb_anon_template5,ec,accuracy,0.87
KNN,sb_anon_template5,pclass,accuracy,0.68
KNN,sb_anon_template6,avgpcon,MAE,46.2993
KNN,sb_anon_template6,duration,MAE,286.2663
KNN,sb_anon_template6,ec,accuracy,0.66
KNN,sb_anon_template6,pclass,accuracy,0.7
KNN,sb,avgpcon,MAE,47.1806
KNN,sb,duration,MAE,219.3296
KNN,sb,ec,accuracy,0.72
KNN,sb,pclass,accuracy,0.74
RF,hpcb_anon_template1,avgpcon,MAE,29.292
RF,hpcb_anon_template1,duration,MAE,238.5199
RF,hpcb_anon_template1,ec,accuracy,0.86
RF,hpcb_anon_template1,pclass,accuracy,0.78
RF,hpcb_anon_template2,avgpcon,MAE,28.9769
RF,hpcb_anon_template2,duration,MAE,252.395
RF,hpcb_anon_template2,ec,accuracy,0.86
RF,hpcb_anon_template2,pclass,accuracy,0.78
RF,hpc_mpnet_anon_template1,avgpcon,MAE,34.1305
RF,hpc_mpnet_anon_template1,ec,accuracy,0.82
RF,hpc_mpnet_anon_template1,pclass,accuracy,0.77
RF,int_anon,avgpcon,MAE,24.3255
RF,int_anon,duration,MAE,298.0089
RF,int_anon,ec,accuracy,0.73
RF,int_anon,pclass,accuracy,0.74
RF,sb_anon,avgpcon,MAE,31.8202
RF,sb_anon,duration,MAE,382.9807
RF,sb_anon,ec,accuracy,0.89
RF,sb_anon,pclass,accuracy,0.78
RF,sb_anon_template1,avgpcon,MAE,36.6092
RF,sb_anon_template1,duration,MAE,567.9892
RF,sb_anon_template1,ec,accuracy,0.81
RF,sb_anon_template1,pclass,accuracy,0.75
RF,sb_anon_template2,avgpcon,MAE,33.2892
RF,sb_anon_template2,duration,MAE,502.3266
RF,sb_anon_template2,ec,accuracy,0.87
RF,sb_anon_template2,pclass,accuracy,0.78
RF,sb_anon_template3,avgpcon,MAE,37.9765
RF,sb_anon_template3,duration,MAE,673.6687
RF,sb_anon_template3,ec,accuracy,0.79
RF,sb_anon_template3,pclass,accuracy,0.75
RF,sb_anon_template4,avgpcon,MAE,35.1433
RF,sb_anon_template4,duration,MAE,454.1673
RF,sb_anon_template4,ec,accuracy,0.9
RF,sb_anon_template4,pclass,accuracy,0.78
RF,sb_anon_template5,avgpcon,MAE,33.4288
RF,sb_anon_template5,duration,MAE,429.2241
RF,sb_anon_template5,ec,accuracy,0.85
RF,sb_anon_template5,pclass,accuracy,0.79
RF,sb_anon_template6,avgpcon,MAE,37.9513
RF,sb_anon_template6,duration,MAE,515.1813
RF,sb_anon_template6,ec,accuracy,0.8
RF,sb_anon_template6,pclass,accuracy,0.74
RF,sb,avgpcon,MAE,39.8253
RF,sb,duration,MAE,423.8204
RF,sb,ec,accuracy,0.81
RF,sb,pclass,accuracy,0.75
XGB,hpcb_anon_template1,avgpcon,MAE,31.219
XGB,hpcb_anon_template1,duration,MAE,295.0379
XGB,hpcb_anon_template1,ec,accuracy,0.89
XGB,hpcb_anon_template1,pclass,accuracy,0.76
XGB,hpcb_anon_template2,avgpcon,MAE,32.6824
XGB,hpcb_anon_template2,duration,MAE,234.1019
XGB,hpcb_anon_template2,ec,accuracy,0.89
XGB,hpcb_anon_template2,pclass,accuracy,0.78
XGB,hpc_mpnet_anon_template1,avgpcon,MAE,34.7722
XGB,hpc_mpnet_anon_template1,ec,accuracy,0.85
XGB,hpc_mpnet_anon_template1,pclass,accuracy,0.75
XGB,int_anon,avgpcon,MAE,48.7113
XGB,int_anon,duration,MAE,735.55
XGB,int_anon,ec,accuracy,0.8
XGB,int_anon,pclass,accuracy,0.75
XGB,sb_anon,avgpcon,MAE,34.0035
XGB,sb_anon,duration,MAE,284.6041
XGB,sb_anon,ec,accuracy,0.89
XGB,sb_anon,pclass,accuracy,0.76
XGB,sb_anon_template1,avgpcon,MAE,34.7678
XGB,sb_anon_template1,duration,MAE,537.4713
XGB,sb_anon_template1,ec,accuracy,0.84
XGB,sb_anon_template1,pclass,accuracy,0.75
XGB,sb_anon_template2,avgpcon,MAE,30.2259
XGB,sb_anon_template2,duration,MAE,393.3581
XGB,sb_anon_template2,ec,accuracy,0.88
XGB,sb_anon_template2,pclass,accuracy,0.76
XGB,sb_anon_template3,avgpcon,MAE,41.266
XGB,sb_anon_template3,duration,MAE,529.7402
XGB,sb_anon_template3,ec,accuracy,0.77
XGB,sb_anon_template3,pclass,accuracy,0.72
XGB,sb_anon_template4,avgpcon,MAE,34.7636
XGB,sb_anon_template4,duration,MAE,417.406
XGB,sb_anon_template4,ec,accuracy,0.89
XGB,sb_anon_template4,pclass,accuracy,0.76
XGB,sb_anon_template5,avgpcon,MAE,33.2909
XGB,sb_anon_template5,duration,MAE,359.4593
XGB,sb_anon_template5,ec,accuracy,0.86
XGB,sb_anon_template5,pclass,accuracy,0.76
XGB,sb_anon_template6,avgpcon,MAE,44.3854
XGB,sb_anon_template6,duration,MAE,777.0248
XGB,sb_anon_template6,ec,accuracy,0.78
XGB,sb_anon_template6,pclass,accuracy,0.73
XGB,sb,avgpcon,MAE,36.2939
XGB,sb,duration,MAE,461.2847
XGB,sb,ec,accuracy,0.79
XGB,sb,pclass,accuracy,0.84
